,도서명,저자,번역,출판사,정가,판매가격,출판일,소개
41,공자의 마지막 공부 (큰글자도서),김승호(작가) 저 ,, 다산초당(다산북스) ,"  33,000원 "," 29,700원", 2021.01.15,  “왜 공자는 주역을 읽고 수명의 짧음을 한탄했는가?” 세계 최초로 주역 64괘에 대한 정밀한 풀이와 공자의 해석이 담긴 X파일을 지금 공개한다!가죽끈이 세 번 끊어지도록 주역을 탐독했다는 공자. 건위천에서 화수미제까지 주역 64괘에 대해 공자는 어떤 해석을 남겼는가? 미래와 운명은 정해져...
42,채우지 않아도 삶에 스며드는 축복 (큰글자도서),정애리(탤런트) 저 ,, 놀(다산북스) ," 36,000원",, 2021.04.30,"  “괜찮아요, 그래도 여기까지 왔잖아요.” 오랫동안 함께해 온 소중한 사람들에게 꼭 선물하고 싶은 책 “송태근(삼일교회 담임목사)” “양호승(월드비전 회장)” “정해인(배우)” 추천! 반세기에 가까운 시간, 대한민국 방송사에 자신의 존재를 뚜렷하게 남긴 배우 정애리. 다년간의 연기 활동이..."
43,유리가면 5,미우치 스즈에(만화가) 저 , 해외단행본팀 역 , 대원씨아이 ,"  4,500원 "," 4,050원", 2010.04.30,"  『유리가면』제5권. 스스로 선택한 연극의 길을 열정적으로 헤쳐나가는 주인공 마야. 그녀가 맡은 주연, 조연, 악한 역, 선한 역 등이 만들어내는 인간군상이 더욱 드라마틱하게 전개된다. 제5권의 이야기는 내일의 풀(1)..."
44,빨간 코트를 입은 남자 (큰글자도서),줄리언 반스(소설가) 저 , 정영목 역 , 다산책방 ,"  39,000원 "," 35,100원", 2021.04.30,"  “프랑스 역사상 가장 정열적이고 자유로웠던 영혼, 줄리언 반스가 발굴해낸 ‘숨겨진 보물’ 사뮈엘 포치”“종횡무진 이야기들을 엮어나가는데 솜씨가 정말 대단하다. 보석 같은 책!” _역자 정영목 *** 맨부커상 수상 줄리언 반스의 최신작 *** *** 독일 아마존 1위 *** *** 2019 더프 쿠퍼상..."
45,철벽선생 10,코다 모모코 저 ,, 학산문화사 ,"  4,500원 "," 4,050원", 2018.09.25,  고백 7연패 중인 사마루 아유하가 만난 사람은 초특급 꽃미남이지만 엄청나게 폭군인 배배 꼬인 교사. 하지만 (아주 미묘하게) 상냥한 구석도 있어서 아유하의 마음은 부쩍부쩍 연애모드로 돌입한다. 난공불락의 히로미츠...
46,이덕일의 한국통사 3 (큰글자도서),이덕일(작가) 저 ,, 다산초당(다산북스) ,"  35,000원 "," 31,500원", 2020.01.20,  큰글자도서  다산북스 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.
47,당신이 숨기고 있는 것들 (큰글자도서),정도언 저 ,, 지와인 ,"  38,000원 "," 34,200원", 2021.07.10,  30여 년 동안 마음의 세계를 탐구해온 정신분석가의 단단한 지혜와 깊은 조언! 서울대 명예교수이자 국내 최초의 국제정신분석가 정도언이 말하는 인생의 판을 바꾸는 무의식의 힘! “가장 어두운 곳에 삶의 에너지가 숨어 있다” 인간이 가지고 있는 가장 강력한...
48,왕들의 부부싸움 (큰글자도서),이성주 저 ,, 애플북스 ,"  33,000원 "," 29,700원", 2021.05.28,"  조선을 만나는 또 다른 시선 최고 권력 앞에서 그들은 부부인가, 동반자인가조선시대 왕과 왕비의 부부생활은 평탄하기만 했을까? 왕이라는 최고 권력자와 그의 반려자 사이에는 어떤 관계가 형성되어 있을까? 《조선왕조실록》이라는 공식 기록 속에서 이들의 부부생활을 찾는 건 어렵지 않았다...."
49,외규장각 도서의 비밀 2,조완선 저 ,, 휴먼앤북스 ,"  9,500원 "," 8,550원", 2008.06.02,"  조완선 장편소설『외규장각 도서의 비밀』제2권. 전설로만 전해지는... 외규장각 도서를 둘러싼 음모와 연쇄살인사건을 팩션으로 재구성하였다.... 모든 도서를 약탈해간다. 그리고 세월이 흐른 현재의 어느 날, 외규장각..."
50,외규장각 도서의 비밀 1,조완선 저 ,, 휴먼앤북스 ,"  9,500원 "," 8,550원", 2008.06.02,"  조완선 장편소설『외규장각 도서의 비밀』제1권. 전설로만 전해지는... 외규장각 도서를 둘러싼 음모와 연쇄살인사건을 팩션으로 재구성하였다.... 모든 도서를 약탈해간다. 그리고 세월이 흐른 현재의 어느 날, 외규장각..."
51,한우리 독서문화운동본부 선정도서 초등 고학년 세트 - 전10권,"원유순 지음, 백승민 저 ",, 아이앤북(I&BOOK) ,"  107,000원 "," 96,300원", 2021.06.21,"  하이퐁 세탁소글 원유순 그림 백승민 웅이는 베트남 엄마를 둔 것만으로 아이들의 놀림감이 되고, 말을 더듬는다는 이유로 장애인 취급을 당하며 놀림을 당했다. 이 동화는 다문화가정의 아이들을 바라보는 아이들과..."
52,소원나무 청소년 추천도서 세트 - 전4권,김선희 저 ,, 소원나무 ,"  52,000원 "," 46,800원", 2020.02.10,"  ‘소원나무 청소년 추천도서’는 청소년이 ‘지금’ 겪고 있는 청소년 문제를 음지에서 양지로 이끌어 내기 위해 시작되었습니다. 《세븐 블라인드》, 《달콤한 알》, 《1의 들러리》, 《어항에 사는 소년》을 포함한 4권의 청소년 소설로 구성된 해당 청소년 추천도서 세트는 폭력, 도박..."
53,계룡 선녀전 3,돌배(만화가) 저 ,, 위즈덤하우스 ,"  12,000원 "," 10,800원", 2018.07.05,  2017 오늘의 우리만화상 수상 작가 화제작! 돌배 작가의 감성 자극 판타지로맨스 『계룡선녀전』 전5권 완간! 품위 있는 상상력으로 고전 설화를 재해석하다! 2017년 3월부터 2018년 3월까지 네이버 웹툰에서 인기리에...
54,유리가면 44,미우치 스즈에(만화가) 저 , 서수진 역 , 대원씨아이 ,"  4,500원 "," 4,050원", 2011.08.23,  SUZUE MIUCHI의 만화 『유리가면』 제44권. '홍천녀'의 시연을 앞두고 연습에 매진하는 아유미. 어느 날 갑자기 연습실에 모습을 드러낸 츠기카게 치구사 앞에서 두 사람은 각자의 홍천녀를 연기한다. 연기가 끝난 후...
55,해빗 (큰글자도서),"웬디 우드 지음, 김윤재 저 ", 김윤재 역 , 다산북스 ,"  35,000원 "," 31,500원", 2020.10.16,"  많은 사람이 목표를 달성하기 위해 고통과 맞서며 치열하게 산다. 살을 빼기 위해 삼시세끼를 굶고, 시험에 통과하기 위해 밤을 새워 공부하고, 새벽에 달리기 위해 졸린 눈을 부비며 억지로 일어난다. 사람들은 입술을 앙다문 채 반복적으로 ‘버티는 삶’을 택한다. 과연 이렇게 처절하고 힘겹게..."
56,조선 4대 여성시인 (큰글자도서),"허난설헌, 황진이 외 2명 저 ",, 뮤즈(MUSE) ," 15,000원",, 2021.05.20,"  이 책을 통해 조선 시대 여류시인들의 뛰어난 언어와 문장을 맛볼 수 있기를 기대한다. 이와 더불어 사회적, 역사적 한계에도 불구하고, 여류시인들이 추구했던 사랑과 아픔, 한 등을 함께 공감할 수 있기를 기대한다."
57,코로나 팬데믹과 한국의 길 (큰글자도서),"황정아, 백영경 외 8명 저 ",, 창비 ,"  28,000원 "," 25,200원", 2021.03.20,  재난의 한국적 돌파는 어떻게 가능한가 팬데믹의 한해를 돌아보며 한국사회에 묻는다 코로나19라는 전무후무한 위기가 전세계를 덮친 지난 1년 동안 수많은 코로나19 관련 논의와 전망이 쏟아졌다. 세계가 끊임없이 바이러스와 분투하고 있는 지금까지도 ‘K-방역’을 둘러싼...
58,침입자들 (큰글자도서),정혁용 저 ,, 다산책방 ,"  30,000원 "," 27,000원", 2020.10.16,"  “띵동! 택배가 도착하는 순간, 당신의 평범했던 일상이 뒤틀리기 시작한다!” 현실보다 더 현실 같은 팽팽한 긴장감, 한국형 하드보일드 소설의 탄생 그는 우리가 하루에 몇 번씩 마주치는 평범한 택배기사다. 활동하기 편한 등산복을 입고, 카트를 끌며, 엘리베이터보다 빠르게 계단을 오르내리는..."
59,아무도 무릎 꿇지 않은 밤 (큰글자도서),목수정 저 ,, 생각정원 ," 32,000원",, 2021.01.20,"목차  파리도서전에서 만난 북 소믈리에 3──끝나지 않는 부조리극 이 시대의 녹두장군, 한상균 세상의 모든 파업을 지지한다 우리가 복원해야 할 가치는 무엇인가 세월호 유족 파리 방문 중 생긴 일들 내가 뽑은 올해의 인물, 유민 아빠..."
60,철학 콘서트 1 (큰글자도서),"황광우 지음, 김동연 저 ",, 생각정원 ," 30,000원",, 2021.01.20,  30만 독자들이 선택한 철학 멘토 황광우의 『철학 콘서트』 11년 만에 출간하는 개정증보판! 네티즌 선정 올해의 책 한국간행물 윤리위원회 추천도서 2006년 『철학 콘서트1』을 시작으로 30만 독자들의 사랑을 받아온 『철학 콘서트』 시리즈가 11년 만에...
61,내 마음은 충전중(큰글자도서)(리더스 원),김근하 저 ,, 서사원 ,"  28,000원 "," 25,200원", 2020.06.30,  “당신의 마음은 안녕하신가요?” 소소한 일로 상처받는 그대에게 권하는 일상 속 마음 회복법살아가면서 사람에게 또는 관계에서 상처받고 오랫동안 그 상태에 머물러 있어서 더 힘들고 지치곤 합니다. 이 책은 그렇게 힘들고 우울한 상황에서 쉽게 벗어나지 못하는 사람들에게 좀 더 빨리...
62,명탐정 코난: 에피소드 원,아오야마 고쇼(만화가) 저 ,, 서울문화사 ,"  12,900원 "," 11,600원", 2018.11.25,"  ★TV 애니메이션 방송 20주년 기념 스페셜 애니메이션의 필름 코믹북!! 쿠도 신이치가 작아진 그날, 그때, 등장인물들의 사이에 도대체 무슨 일이 있었던 걸까? 트로피컬 랜드에서 데이트를 즐기던 신이치와 란은 제트코스터 살인사건에 휘말린다. 용의자는 검은 옷 입은 남자 두 명을 포함한 다섯..."
63,주마등 임종 연구소 (큰글자도서),박문영 저 ,, 창비 ,"  20,000원 "," 18,000원", 2021.03.05,"  “사람은 원하는 방식으로 죽을 수 있어. 그래서 여기 왔잖아.” SF어워드 대상 수상 작가 박문영이 초대하는 세계 원하는 시공간에서 암호를 말하면 당신의 임종이 시작된다 2015년 SF어워드 중·단편소설 부문 대상, 2019년 SF어워드 장편소설 부문 우수상을 수상한 작가..."
64,추천도서목록(2020),학교도서관저널 도서추천위원회 저 ,, 학교도서관저널 ,"  30,000원 "," 27,000원", 2020.02.26,"  교육 현장의 교사, 사서, 도서전문가, 활동가 등으로 이뤄진 학교도서관저널 도서추천위원(이하 ‘추천위’)들은 매달 새로 나오는 책들을 꼼꼼히 살펴보며 어린이와 청소년이 읽어볼 만한 책을 선정하여 한다. 추천도서 선정은 어린이·청소년 네 분야씩 총 여덟 분과에서 분야별 특성을..."
65,"인문학, 기호학을 말하다 (큰글자도서)",송효섭 저 ,, 이숲 ," 25,000원",, 2020.10.20,"  인문학 위기의 원인을 인문학적 소통방식의 부재에서 찾은 저자는 이에 대한 효과적인 해결책으로 기호학을 제시한다. 지난 수십 년간 대학에서 기호학을 가르치고 여러 편의 저서를 저술한 저자는 이 책에서 일반인에게 다소 생소할 수 있는 기호학의 기본 개념과 용어들, 그리고 대표적인..."
66,만세열전 (큰글자도서),조한성 저 ,, 생각정원 ," 36,000원",, 2021.01.20,"  [3?1운동 100주년 기념작] 열아홉 살 소년부터 농민과 노동자, 순사보까지 역사의 스포트라이트 뒤에 있던 3·1운동의 숨은 주역들을 만나다! “오늘의 우리에게 ‘촛불’이 있다면, 100년 전 우리에겐 ‘만세’가 있었다.” - 서중석, 성균관대학교 사학과 명예교수..."
67,일주일간 친구 7,하즈키 맛차 저 ,, 대원씨아이 ,"  5,000원 "," 4,500원", 2016.01.15,  하즈키 맛차 만화 『일주일간 친구』제7권. 후지미야와 쿠조의 과거 그리고 후지미야의 기억에 문제를 일으킨 사건에 대해 알게 된 하세는 후지미야의 행복을 위해 자신이 어떻게 해야 할지 마음을 정한다. 한편...
68,가해자는 울지 않는다 (큰글자도서),성실 저 ,, 다른 ,"  25,000원 "," 22,500원", 2021.01.11,"  “그랬다, 수아를 그곳으로 불러낸 건 우리였다.” 학교 폭력에 삼켜진 아이들의 이야기 학교 폭력 실태를 눈앞에서 보듯 생생하게 그려낸 성실 작가의 청소년소설 『가해자는 울지 않는다』가 출간되었다. 작가는 학교 폭력을 다룰 때 가장 주목하는 인물인 ‘가해자’와..."
69,나이에 대한 도도하고 발칙한 상상(큰글자도서)(리더스 원),베브 윌리암스 저 , 김희정 역 , 틔움출판 ,"  25,000원 "," 22,500원", 2020.06.30,"  “당신은 와인과 참 닮았어. 시간이 흐를수록 더 사랑스러워 지거든!”이 책은 영국의 유명 그림 작가인 베브 윌리암스(BEB WILLIAMS)가 나이(AGE)와 건강, 음식, 와인 등과 관련된 세계 유명 인사들의 재치 넘치는 말들을 인용하여 재미있는 그림과 함께 한 책입니다. 화려하고 재미있는 그림과..."
70,와인수첩 (큰글자도서) (컬러판),이정윤 저 ,, 우듬지 ," 22,000원",, 2021.04.19,"  다양한 상황과 분위기에 어울리는 80가지 와인!80가지 상황에 어울리는 와인을 골라 하는 와인 가이드 북『와인 수첩』. 와인을 마시기 시작한 초보자부터 와인을 즐기는 마니아까지, 와인을 사랑하는 모든 사람들을 위한 책이다. 식음료에 대한 정보를 한눈에 볼 수 있게 구성한「구르메..."
71,저고리 시스터즈 (큰글자도서),김미승 저 ,, 다른 ,"  25,000원 "," 22,500원", 2021.01.11,"  식민지 조선의 두 소녀가 하나의 꿈을 좇는 여정 시로 등단하여 두 권의 시집을 낸 뒤, 첫 청소년 소설 『세상에 없는 아이?(한국출판문화산업진흥원 우수 콘텐츠 제작 지원 선정작)을 펴낸 김미승 작가의 두 번째 청소년 소설이자 역사 소설이다. 『저고리 시스터즈?는 일제 강점기..."
72,"Green Eco, 자연에서 찾은 노년의 행복 (큰글자도서)",김열규(전)대학교수) 저 ,, 이숲 ," 34,000원",, 2020.10.20,"  우리 모두 자연으로 돌아가야 한다 은퇴 후 고향인 경남 고성으로 돌아간 저자가 15년째 산과 바다를 벗해 살면서 새삼 깨닫게 된 자연의 의미와 생태적 삶의 지혜를 글로 옮겼다. 저자는 위기에 처한 자연을 회복하고, 우리도 몸만 자연으로 돌아갈 것이 아니라 마음도 자연에 순응하는 삶을 살자고..."
73,계룡 선녀전 2,돌배(만화가) 저 ,, 위즈덤하우스 ,"  12,000원 "," 10,800원", 2017.11.13,  2017년 3월부터 네이버 웹툰에서 인기리에 연재 중인 돌배 작가의 감성 자극 판타지로맨스『계룡선녀전』 2권. 고전 설화 선녀와 나무꾼을 품위 있는 상상력과 세련된 감수성으로 현대로 옮겨 독자의 감성을 자극한다....
74,철벽선생 2,코다 모모코 저 ,, 학산문화사 ,"  4,500원 "," 4,050원", 2016.08.25,  『철벽선생』제2권. 히로미츠 선생님의 매몰찬 태도에도 굴하지 않고 꿋꿋하게 짝사랑을 지켜 가는 아유하에게 선생님은 「그렇게까지 말한다면 제 마음을 빼앗아 봐요.」라며 도발!! 혹시 이건 가능성이 있는 건가...
75,"고전, 대중문화를 엿보다 (큰글자도서)","오세정, 조현우 저 ",, 이숲 ,"  33,000원 "," 29,700원", 2020.10.20,"  한국의 고전 12편을 새로운 시각으로 살펴봄으로써 영화, 드라마, 만화, 애니메이션, 게임 등 대중문화의 영역에서 고전 콘텐츠가 어떻게 활용되고 재탄생되었는가를 알아본다. 지금까지 우리가 주로 인식해 왔던 판에박힌 고전 해석에서 벗어나 신선한 해석을 보여주는 두 명의 젊은 인문학자는..."
76,택시 소년 (큰글자도서),"데보라 엘리스 지음, 윤정숙 저 ", 윤정숙 역 , 천개의바람 ,"  22,000원 "," 19,800원", 2020.05.29,"  열두 살 소년 디에고는 코차밤바의 산세바스티안 감옥에 산다. 아빠와 엄마가 코카인을 만들었다는 누명을 쓰고 감옥에 갇혔기 때문이다. 하지만 볼리비아의 감옥은 죄수를 가두기만 할 뿐, 모든 걸 스스로 일해서 구해야 한다. 엄마는 뜨개질을 하고, 디에고는 그것들을 내다 팔면서 다른 죄수들의..."
77,위기관리 시스템 혁명 (큰글자도서),최성(전)기초단체장) 저 ,, 다산초당(다산북스) ,"  33,000원 "," 29,700원", 2020.02.28,  최성 교수의 날카로운 분석과 대담한 통찰 당신이 놓쳐서는 안 될 단 하나의 위기관리 바이블! “국내 최초 위기관리 시스템 박사논문 출간!”왜 해군은 북한 잠수정을 새떼로 보고했는가? 2010년 3월 26일 백령도 근처 해상에서 대한민국 해군 초계함인 천안함이 격침되어 침몰했고 대한민국 해군...
78,홍보가 아니라 소통입니다. 2(큰글자도서),정혜승 저 ,, 미디어창비 ,"  20,000원 "," 18,000원", 2020.07.20,"  국민청원을 만든 전 청와대 디지털소통센터장이 전하는 ‘구독’과 ‘좋아요’의 시대 소통 전략국민청원을 만든 전 청와대 디지털소통센터장 정혜승의 『홍보가 아니라 소통입니다』가 출간되었다. 신문사 기자에서 인터넷 포털의 대외협력 책임자, 청와대 디지털소통센터장까지 올드미디어와..."
79,공주의 남자 1,"김정민, 조정주(드라마작가) 외 2명 저 ",, 페이퍼스토리 ,"  12,000원 "," 10,800원", 2011.08.30,"  KBS 특별기획 드라마 [공주의 남자]를 소설로 만난다. 왕이 되고자 하는 열망에 들뜬 수양대군이 대신(大臣) 김종서를 무참히 살해한 사건. 이른바 계유정난을 새로운 시각, 즉 '관련자들의 2세'라는 전혀 다른 각도에서..."
80,일주일간 친구 2,하즈키 맛차 저 ,, 대원씨아이 ,"  5,000원 "," 4,500원", 2015.05.15,  하즈키 맛차의 만화 『일주일간 친구』 제2권. 친구의 존재를 일주일만 지나면 잊어버리는 후지미야 카오리와 친해진 하세 유키. 수없이 많은 일주일을 반복하며 둘의 우정은 깊어만 간다. 그러던 중 우연한 오해로 두...
81,활자 안에서 유영하기 (큰글자도서),김겨울(작가) 저 ,, 초록비책공방 ,"  30,000원 "," 27,000원", 2020.10.15,"  북튜버 [겨울서점]이 들려주는 인생 책 이야기 책은 읽은 이의 몸 구석구석에 남아 생명을 유지한다! 유튜브 [겨울서점] 채널에서 책에 관한 다양한 이야기를 하고 있는 북튜버 김겨울의 두 번째 책이다. 그의 첫 책 『독서의 기쁨』이 책의 물성부터 시작하여 책을 고르는 법, 독서법, 독서환경..."
