,도서명,저자,번역,출판사,정가,판매가격,소개
1,,,,,,,
2,크리스토퍼 놀란 : 감독이 참여한 첫 공식 도서,"톰 숀, 크리스토퍼 놀란(영화감독) 저 ", 윤철희 역 , 제우미디어 ,"  33,000원 "," 29,700원","  ""모호한 것을 명확하게 보여주고 싶다.""〈메멘토〉, 〈다크 나이트〉, 〈인셉션〉, 〈인터스텔라〉...꿈을 짓고, 시간을 직조해내는 '설계자'거장 크리스토퍼 놀란에게 직접 듣는 비밀자신이 골몰해온 다양한 '개념'을 가장 지적인 형태의 '영화'로 만들어 관객과 게임을 벌이는 감독 크리스토퍼..."
3,작은 아씨들,루이자 메이 알코트(소설가) 저 , 강미경 역 , 알에이치코리아 ,"  16,500원 "," 14,850원","  150년 동안 사랑받은 고전, 『작은 아씨들』을 지금 다시 읽어야 하는 이유! “내가 남자가 아니라는 게 참을 수 없어.”라고 거침없이 외치는 소녀에서, “남자 때문에 서둘러 자유를 포기하고 싶지 않아.”라며 비혼을 선언을 하고 글쓰기에 몰두하는 한 여성이 되기까지...."
4,고백,미나토 가나에(소설가) 저 , 김선영 역 , 비채 ,"  12,770원 "," 11,500원","  열세 살 살인자, 그보다 더 어린 희생자... 그리고 어느 여교사의 충격적인 고백!충격적인 범죄와 복수를 사실적으로 묘사한 미나토 가나에의 작품『고백』. 사고로 딸을 잃은 여교사가 학생들 앞에서 충격적인 이야기를..."
5,82년생 김지영,조남주(소설가) 저 ,, 민음사 ,"  13,000원 ",,"  공포, 피로, 당황, 놀람, 혼란, 좌절의 연속에 대한 한국 여자의 인생 현장 보고서!문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 열세 번째 작품 『82년생 김지영』. 서민들의 일상 속 비극을 사실적이면서 공감대 높은 스토리로..."
6,라플라스의 마녀,히가시노 게이고(작가) 저 , 양윤옥(번역가) 역 , 현대문학 ,"  14,800원 "," 13,300원","  인류의 미지의 영역에 도전한 히가시노 게이고의 80번째 작품!히가시노 게이고 작가 데뷔 30주년 기념작 『라플라스의 마녀』. 그동안 치밀한 트릭과 반전이 빛나는 본격 추리소설부터 우리 시대의 문제점을 파고든 사회파 작품, 서스펜스, 판타지, SF에 이르기까지 다양한 장르를 오가며..."
7,인어가 잠든 집,히가시노 게이고(작가) 저 , 김난주(번역가) 역 , 재인 ,"  17,800원 "," 16,020원","  지금 이 아이의 가슴에 칼을 꽂는다면, 그래서 아이의 심장이 멈춘다면, 딸을 죽인 사람은 저입니까?‘인간이란 무엇이며 삶과 죽음, 사랑의 정의는 무엇인가’라는 난제에 도전한 히가시노 게이고의 휴먼 미스터리 『인어가 잠든 집』. 히가시노 게이고의 작가 데뷔 30주년을 기념해 2015년에..."
8,[큰글자도서] 위대하고 위험한 약 이야기,정진호 저 ,, 푸른숲 ,"  30,000원 "," 27,000원","  건강과 행복을 위해 무엇을 믿고, 무엇을 믿지 말아야 할까? 세계적 독성학자 정진호 교수가 들려주는 약의 모든 것 진시황은 영원한 젊음을 꿈꿨다. 불로장생약에 병적으로 집착했던 그는 불로초를 구하러 간 서복이 돌아오지 않자 대신 수은이 들어간 탕약을 먹었다. 독성이..."
9,고 녀석 맛있겠다,미야니시 타츠야(동화작가) 저 , 백승인 역 , 달리 ,"  11,000원 "," 9,900원","  육식공룡 아빠와 초식공룡 아기의 유쾌한 동거!육식공룡 아빠와 초식공룡 아기가 만들어가는 낭만적인 사랑이야기를 담은 그림책. 화산이 쿵쿵쿵 터지는 아주 먼 옛날, 아기 초식공룡 한 마리가 알에서 깨어납니다. 그런데..."
10,로또9단 1등 분석기법(큰글씨도서),로또9단(온라인콘텐츠창작자) 저 ,, 푸른e미디어 ,"  19,800원 "," 17,820원","  과학적 분석으로 로또 1등에 도전한다! 『로또9단 1등 분석기법』의 모든 내용은 유튜브 [로또9단]에서 로또 분석가로 3년을 활동하며 실전에서 검증한 내용들이다. 2020년 6~11월까지 6개월의 짧은 기간 동안에만 2등 5명, 3등 70명을 배출시켰던 확실히 검증된 실전 분석기법이므로 끝까지 읽은..."
11,[큰글자도서] 어린이라는 세계,김소영 저 ,, 사계절 ,"  27,000원 "," 24,300원","  어린이에 대해 생각할수록 우리의 세계는 넓어진다 어린이는 잘 보이지 않는다. 몸이 작아서이기도 하고, 목소리가 작아서이기도 하다. 양육이나 교육, 돌봄을 맡고 있는 사람이 아니라면 우리 곁에 어린이가 ‘있다’는 사실을 의식하지 못한 채 살아가기 쉽다. 10년 남짓 어린이책..."
12,내 아이를 위한 사랑의 기술,"존 가트맨(심리학자), 남은영 저 ",, 한국경제신문 ,"  13,000원 "," 11,700원","  “얘야, 행복하니?”자녀 교육의 신개념 ‘감정코치’ MBC 스페셜 <내 아이를 위한 사랑의 기술> 원작 도서, 드디어 한국어판 출간!... 인터넷 홈페이지에서 관련 도서로 추천한 책은 금세 주요 대형 서점 베스트셀러로 진입했고, 저자의 원작 도서 문의도 급증했다. MBC 스페셜 2부작 <내..."
13,해를 품은 달 2,정은궐(소설가) 저 ,, 파란미디어 ,"  13,000원 "," 11,700원","  사랑과 권력을 되찾기 위해 가혹한 운명에 맞선 왕!조선 시대 가상의 왕과 액받이 무녀의 애절한 사랑을 그린 역사 로맨스 소설 『해를 품은 달』 제2권. <성균관 유생들의 나날>, <규장각 각신들의 나날>의 작가..."
14,해를 품은 달 1,정은궐(소설가) 저 ,, 파란미디어 ,"  13,000원 "," 11,700원","  사랑과 권력을 되찾기 위해 가혹한 운명에 맞선 왕!조선 시대 가상의 왕과 액받이 무녀의 애절한 사랑을 그린 역사 로맨스 소설 『해를 품은 달』 제1권. <성균관 유생들의 나날>, <규장각 각신들의 나날>의 작가..."
15,사도의 8일 (큰글자도서),조성기 저 ,, 한길사 ," 28,000원",,  문학을 통해 다시 한 번 새로운 시선으로 사도세자를 만나다!오랫동안 아버지 영조에게 버림받은 광인으로 기억된 사도세자를 깊이 있는 통찰과 역사적 사실을 바탕으로 더욱 입체적인 인물로 재탄생시킨 『사도의 8일』. 사도세자와 혜경궁 홍씨의 관점에서 돌아본 뒤주 8일간의 기록을 담은...
16,[큰글자도서] 나의 첫 투자 수업 1 : 마인드편,"김정환, 김이안 저 ",, 트러스트북스 ," 34,000원",,"  한국인이 가장 사랑하는 주식 멘토 1위, 누적조회수 3천5백만을 기록한 화제의 명강의! 유튜브 채널 개설 5개월 만에 구독자 45만 돌파, 주린이들의 절대적 지지를 받고 있는 대한민국 대표 가치 투자자 슈퍼개미 김정환 대표가 하나뿐인 딸에게 그동안 비밀리에 들려주었던..."
17,[큰글자도서] 당신이 잘되면 좋겠습니다,김민섭 저 ,, 창비교육 ,"  28,000원 "," 25,200원","  김민섭 씨가 김민섭 씨를 찾습니다! 세상에 지친 당신을 위로하는 작고 선량한 재치 체험에서 오는 진솔함, 필체가 주는 따뜻함, 사회적 고찰이 주는 깨달음을 고루 갖춘 작가 김민섭이 신간 『당신이 잘되면 좋겠습니다』를 출간했다. 자신과 비슷한 처지에 놓인 누군가를 위해 벌인..."
18,한나 아렌트의 생각 (큰글자도서),김선욱 저 ,, 한길사 ," 25,000원",,  『한나 아렌트의 생각: 오늘 우리에게 한나 아렌트는 무엇을 말하는가』는 정치사상가 한나 아렌트의 사상을 하고 우리 정치 현실에 적용한다. 저자 김선욱은 아렌트를 ‘정치철학자’가 아닌 ‘정치사상가’로 한다. 아렌트가 정치를 ‘진리의 영역’이 아닌 ‘의견의 영역’이라고...
19,[큰글자도서] 언어력,이도영 저 ,, 창비교육 ,"  23,000원 "," 20,700원","  “왜 그때 제대로 말하지 못했을까?” “쓸수록 너덜너덜해지는 내 글은 뭐가 문제일까?” 보고와 회의가 일상인 직장인이라면, 내 의견을 말과 글로 전달하는 직종에 있는 사람이라면 가슴에 찌릿하게 와닿는 말들이다. 말과 글을 늘어놓을수록 꼬여만 가는 당신에게 필요한 것은 무엇일까?..."
20,[큰글자도서] 나의 첫 투자 수업 2 : 투자편,"김정환, 김이안 저 ",, 트러스트북스 ," 34,000원",,"  한국인이 가장 사랑하는 주식 멘토 1위, 누적조회수 3천5백만을 기록한 화제의 명강의! 유튜브 채널 개설 5개월 만에 구독자 45만 돌파, 주린이들의 절대적 지지를 받고 있는 대한민국 대표 가치 투자자 슈퍼개미 김정환 대표가 하나뿐인 딸에게 그동안 비밀리에 들려주었던..."
21,,,,,,,
22,시원찮은 그녀를 위한 육성방법 1,마루토 후미아키 글 , 미사키 쿠레히토 그림 , 이승원 역 ,"  6,800원 "," 6,120원","  [시원찮은 그녀를 위한 육성방법] 제1권. 이것은 나, 아키 토모야가 그다지 눈에 띄지 않는 한 소녀를 히로인에 걸맞은 캐릭터로 프로듀스하면서, 그녀를 모델로 한 미소녀 게임을 제작하는 과정을 그린 감동적인 이야..."
23,[큰글자도서] 끝까지 남겨두는 그 마음,나태주(시인) 저 ,, 북로그컴퍼니 ,"  36,000원 "," 32,400원",  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 “당신이 나의 시를 읽고 필사할 때나의 인생 또한 당신에게 알은체 손을 내밀 것입니다.”* * * * *풀꽃 시인...
24,고 녀석 맛있겠다 시리즈 세트,미야니시 타츠야(동화작가) 저 , 백승인 역 , 달리 ,,,"  『고 녀석 맛있겠다 시리즈 1-8권 세트』는 일본의 베스트셀러 동화작가인 미야니시 타츠야의 인기 그림책으로, 한정수량 특별보급판으로 출시되었습니다. 공룡을 주인공으로 진정한 우정, 가슴 찡한 가족애 등을 아이들..."
25,유리가면 47,미우치 스즈에(만화가) 저 , 서수진 역 , 대원씨아이 ,"  4,500원 "," 4,050원",  SUZUE MIUCHI의 만화 『유리가면』 제47권. 저자 특유의 기발한 상상력과 뜨거운 열정이 만들어낸 초대형 드라마 만화다. 운명처럼 연기에 이끌리는 소녀 '마야'와 그녀의 라이벌 소녀 '아유미'의 집념과 열정이 연극...
26,슈퍼차이나,"김영철(PD), KBS 슈퍼차이나 제작팀 저 ",, 가나출판사 ,"  17,000원 "," 15,300원","  세계가 주목하는 차이나 파워의 실체를 파헤치다!『슈퍼차이나』는 KBS 특별기획 다큐멘터리 《슈퍼 차이나》를 단행본으로 엮은 책으로, 슈퍼파워로 떠오른 중국의 부상을 인구, 기업, 경제, 군사, 땅, 문화, 공산당이라는 다양한 프레임을 통해 속속들이 보여준다. 이 책은 전 세계에 막대한..."
27,2021 추천도서목록,학교도서관저널 도서추천위원회 저 ,, 학교도서관저널 ,"  30,000원 "," 27,000원","  좁힐 수 있게 하는 방편으로 북큐레이션을 고민하는 선생님들을 위해, 17가지 주제에 따른 책들을 어린이 청소년 분야로 나누어 안내한다. 이와 함께 교육 현장의 교사와 사서, 도서전문가, 활동가 등으로 이뤄진 학교도서관저널 추천위에서 선정한 390여 권의 추천도서와 서평을 한다."
28,유리가면 48,미우치 스즈에(만화가) 저 , 서수진 역 , 대원씨아이 ,"  4,500원 "," 4,050원",  세대를 잇는 순정만화계의 레전드!! 홍천녀를 향한 마야의 불굴의 열정!국내에서는 문고판과 애장판으로 발행된 바 있는 [유리가면]이 가장 기본판형으로 발행된다. 현지에서 [유리가면]이 연재를 재개하여 다시 붐을...
29,시원찮은 그녀를 위한 육성방법 2,마루토 후미아키 글 , 미사키 쿠레히토 그림 , 이승원 역 ,"  6,800원 "," 6,120원","  1권 이것은 나, 아키 토모야가 그다지 눈에 띄지 않는 한 소녀를 히로인에 걸맞은 캐릭터로 프로듀스하면서, 그녀를 모델로 한 미소녀 게임을 제작하는 과정을 그린 감동적인 이야─ “아앙? 할 줄 아는 건 하나도 없으면서..."
30,도쿄 구울 4,Sui Ishida 저 , 강동욱 역 , 대원씨아이 ,"  4,800원 "," 4,320원","  SUI ISHIDA의 만화『도쿄 구울』제4권. '구울 수사관'과의 일전을 마치고 세상의 어둠을 들여다본 카네키. 인간과 구울, 저마다의 목소리로 술렁거리는 '안테이크'에 '미식가' 구울 츠키야마가 나타난다. 미지의 맛을..."
31,[큰글자도서] 너만 모르는 그리움,나태주(시인) 저 ,, 북로그컴퍼니 ,"  36,000원 "," 32,400원","  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 나태주 등단 50주년 기념 필사시집!* * * * *신작 포함 미공개 시 30여 편 수록, 필사하기 좋은 100편의 시!나태주 등단..."
32,초등 교과수업 연계도서,"김임숙, 경기도학교도서관사서협의회 저 ",, 북스북스 ,"  18,000원 "," 16,200원","  ‘2021교과수업 연계도서’ 활용에 앞서 1. 이용대상 학교도서관 사서교사 및 공공도서관 사서, 교사, 학부모, 초등학생이 활용할 수 있습니다. 2. 표준교재 및 학년별 과목 선정 연구 교재는 국정교과서와 검정교과서를 대상으로 하였습니다. 국정교과서는 전국초등학교에 공통으로..."
33,[큰글자도서] 확신,"롭 무어 지음, 이진원 저 ", 이진원 역 , 다산북스 ,"  36,000원 "," 32,400원",  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 “부자가 되려면 돈을 좇지 말고 자신의 가치를 따르라!”파산한 청년을 자수성가 백만장자로 만든 결정적 마음의...
34,은혼 42,소라치 히데아키(만화가) 저 , 설은미 역 , 학산문화사 ,"  4,500원 "," 4,050원","  일본 누계부수 4,000만 부 돌파의 초대형 화제작으로 유쾌통쾌한 SF 코미디물. 무대는 에도로 20년 전에 우주에서 온 '천인'의 대두와 폐도령으로 크게 번성했던 사무라이는 쇠퇴 일로에 있다. 그런 시대에 자신이 믿는..."
35,시원찮은 그녀를 위한 육성방법 3,마루토 후미아키 글 , 미사키 쿠레히토 그림 , 이승원 역 ,"  6,800원 "," 6,120원","  카토의 헤어스타일 체인지 때문에 혼란에 빠지고 만 서클 멤버들. 게다가 다른 서클에서 에리리를 스카우트해가려고 하는데?! 비밀스러운 마음을 가슴에 담은 채, 여름(코믹마켓)이 시작된다."
36,82년생 김지영,조남주(소설가) 저 ,, 민음사 ,"  15,000원 "," 13,500원","  작고, 가볍고, 젖지 않는 워터프루프북으로 만나는 소설!「쏜살 문고」에 「오늘의 젊은 작가」의 소설을 담아 여름 해변이나 수영장뿐만 아니라 따뜻한 욕조 안, 비 내리는 카페의 테라스, 어디서든지 마음 놓고 독서를 즐길 수 있도록 만든 워터프루프북이다. 일반적인 종이와는 달리 나무가..."
37,[큰글자도서] 처음 읽는 정치철학사,"그레임 개러드.제임스 버나드 머피 지음, 김세정 저 ", 김세정 역 , 다산초당(다산북스) ,"  36,000원 "," 32,400원",  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 세상을 바라보는 힘을 길러줄 30가지 위대한 생각들!기원전부터 21세기에 이르기까지 방대한 정치철학사를 총...
38,암살교실 5,Yusei Matsui 저 , 서현아 역 , 학산문화사 ,"  5,500원 "," 4,950원","  현재 일본 만화계의 화두는 단연 암살교실이다. 마인탐정 네우로의 작가 마츠이 유세이의 차기작으로 전작을 뛰어넘는 인기를 구사하고 있다. 특히 원피스, 나루토, 블리치, 은혼 등이 연재되는 주간 소년점프에서 연재가..."
39,만인의 인문학(큰글자도서)(리더스 원),도정일(대학교수) 저 ,, 다산북스 ," 34,000원",,"  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 사물과 현상을 새롭게 해석하고 기존 지식의 틀을 넘는 상상력을 가진 인문학자,도정일이 펼쳐내는 ‘삶의 예술..."
40,"그해, 여름 손님",안드레 애치먼(작가) 저 , 정지현 역 , 잔 ," 8,700원",,"  내 눈의 빛, 세상의 빛, 내 인생의 빛 같은 사람!90회 아카데미 각색상 수상작 《콜 미 바이 유어 네임(CALL ME BY YOUR NAME)》의 원작 소설 『그해, 여름 손님』. 파이팅 어워드 수상자 안드레 애치먼이 감각적인 언어로 피아노 연주와 책이 삶의 전부인 열일곱 소년 엘리오와 스물넷의 미국인 철학교수..."
